pet_id,name,species,breed,age,date_of_arrival,temperament,special_needs,status,current_room_id
1,Bella,Dog,Labrador Retriever,3,3/15/25,Friendly,None,Healthy,1
2,Max,Cat,Siamese,2,5/21/25,Gentle,Dietary restrictions,Under Care,7
3,Coco,Dog,French Bulldog,4,2/12/25,Energetic,None,Recovering,3
4,Luna,Cat,Maine Coon,5,1/30/25,Calm,Arthritis care,Needs Attention,8
5,Rocky,Dog,German Shepherd,6,6/7/25,Protective,None,Healthy,2
6,Daisy,Rabbit,Holland Lop,1,7/18/25,Gentle,None,Recovering,12
7,Oliver,Cat,British Shorthair,3,4/9/25,Friendly,None,Healthy,9
8,Ruby,Dog,Beagle,2,8/1/25,Energetic,None,Under Care,4
9,Milo,Cat,Ragdoll,4,3/22/25,Calm,None,Healthy,10
10,Nala,Dog,Golden Retriever,5,5/10/25,Friendly,Allergies,Needs Attention,5
11,Teddy,Dog,Poodle,1,6/30/25,Energetic,None,Healthy,6
12,Sophie,Cat,Persian,3,7/15/25,Calm,Eye care,Recovering,7
13,Leo,Dog,Boxer,4,2/25/25,Energetic,None,Healthy,3
14,Chloe,Rabbit,Mini Rex,2,3/8/25,Gentle,None,Under Care,13
15,Simba,Cat,Bengal,5,1/12/25,Gentle,None,Healthy,11
16,Buddy,Dog,Dachshund,6,4/20/25,Friendly,Back support,Needs Attention,1
17,Lily,Cat,Sphynx,1,5/30/25,Friendly,Skin care,Recovering,10
18,Jack,Dog,Border Collie,3,7/5/25,Energetic,None,Healthy,5
19,Penny,Rabbit,Dutch,2,6/12/25,Gentle,None,Under Care,14
20,Oscar,Cat,Scottish Fold,4,8/18/25,Calm,None,Healthy,11
,,,,,,,,,
