event_id,title,description,room_id,event_date,start_time,end_time,max_attendees,event_type
1,Max’s Birthday Bash,"Cake, music, and friends.",12,12/2/25,9:30 AM,11:00 AM,8,Birthday
2,Clara’s Baby Shower,Celebrating Clara’s little one.,5,12/2/25,10:00 AM,12:00 PM,15,Family
3,JuiceUp Company Retreat,Team-building and strategy fun.,16,12/4/25,1:00 PM,3:00 PM,4,Company
4,Oliver & Emma’s Engagement Party,Toasts and laughter all around.,8,12/6/25,2:00 PM,4:30 PM,14,Wedding/Anniversary
5,Liam’s 30th Birthday Blowout,Milestone party with friends.,11,12/7/25,3:00 PM,5:00 PM,6,Birthday
6,BrightTech Annual Awards Night,Recognizing top performers.,20,12/7/25,11:00 AM,1:00 PM,5,Company
7,Samantha & Ben’s Graduation Celebration,"Fun, food, and friends.",6,12/8/25,9:00 AM,10:30 AM,8,Graduation
8,BlueSky Holiday Bash,Festive celebration for employees.,15,12/9/25,12:00 PM,2:00 PM,9,Company
9,Paige’s Bridal Shower,"Games, giggles, and love.",2,12/11/25,1:30 PM,3:30 PM,7,Wedding/Anniversary
10,Hannah & David’s Wedding Reception,"Love, dancing, and memories.",13,12/11/25,10:30 AM,12:30 PM,7,Wedding/Anniversary
11,RocketFuel Innovation Night,Celebrating ideas and breakthroughs.,19,12/13/25,2:30 PM,4:00 PM,6,Company
12,Tyler’s Graduation Party,"Sunshine, splashes, and fun.",5,12/15/25,12:30 PM,2:30 PM,15,Wedding/Anniversary
13,Fiona & Gabriel’s Sustainability Summit,Innovative ideas for a greener world.,10,12/15/25,9:00 AM,11:30 AM,11,Company
14,Emma’s Farewell Brunch,Saying goodbye with friends.,16,12/18/25,11:30 AM,1:00 PM,4,Family
15,Ian’s Sports Day,"Games, competition, and laughter.",8,12/18/25,3:00 PM,4:30 PM,14,Going Away
16,PixelPlay Holiday Party,Cheerful company celebration.,12,12/20/25,1:00 PM,3:00 PM,8,Miscellaneous
17,Lucy’s Tea Party,"Sweets, tea, and chatter.",11,12/20/25,9:30 AM,11:30 AM,6,Miscellaneous
18,Mason’s Birthday Party,Creative outfits and fun.,2,12/22/25,2:00 PM,4:00 PM,7,Birthday
19,NextWave Startup Mixer,Networking and collaboration night.,15,12/30/25,10:00 AM,12:00 PM,9,Company
20,Nora’s Picnic in the Park,"Sunshine, snacks, and friends.",13,12/30/25,12:00 PM,2:30 PM,7,Miscellaneous
,,,,,,,,
